Unnamed: 0;KABKOT;ACTIVE_RATIO;AKTIF_PER_10K;KARYAWAN_PER_KOP_AKTIF;MANAGER_PER_KOP_AKTIF;PROP_BESAR;PROP_KECIL;PROP_MENENGAH;PROP_MIKRO;JUMLAH_KOPERASI_AKTIF;JUMLAH_KOPERASI_TOTAL;Cluster_KMeans;Cluster;Silhouette
0;Kabupaten Bangkalan;-2,470390628;-1,447213971;0,608827268;5,641711398;-0,784464152;1,414391208;1,148235804;-1,359433731;175,1666667;852,6666667;1;1;0,411065073
1;Kabupaten Banyuwangi;-0,084381896;-0,949613465;0,460242708;0,229292992;-0,588596688;0,964117894;0,554192392;-0,87237118;574,8333333;959,6111111;1;1;0,566696812
2;Kabupaten Blitar;-0,232525217;-0,450203566;-0,646092943;-0,200213658;-0,838949382;-0,610864252;-0,957837283;0,744999747;602,1111111;1051,722222;0;0;0,692292785
3;Kabupaten Bojonegoro;-0,179672101;-0,141765438;1,254043423;-0,212513095;0,451663167;-0,850756624;-1,223480697;0,939533993;788,3333333;1351,5;0;0;0,449797732
4;Kabupaten Bondowoso;-0,619819522;0,008946413;-0,71415301;-0,408725423;-0,577701337;-0,948371732;-0,847781002;0,978895798;501,9444444;988,6666667;0;0;0,688059328
5;Kabupaten Gresik;-0,704648409;-0,168136305;-0,17607965;-0,252863329;0,845880356;-0,080822215;0,043468364;0,016852779;746,9444444;1504,944444;0;1;0,312232722
6;Kabupaten Jember;-1,902729383;-1,268361759;0,416805679;-0,011400524;0,264256094;0,536272166;1,020029842;-0,673422091;578,3333333;1948,166667;1;1;0,607670524
7;Kabupaten Jombang;1,342337817;-0,234016058;1,411737077;-0,418745396;0,163597095;-0,234814156;-0,036611992;0,189233391;753,3888889;904,2222222;0;0;0,086392042
8;Kabupaten Kediri;-0,188938346;-0,380497454;-0,257034404;-0,235412863;-0,170074959;-0,760046834;-0,490076821;0,728344732;849,6666667;1464,833333;0;0;0,6708746
9;Kabupaten Lamongan;1,328673782;0,623417002;-0,962900597;-0,333158902;-0,786287391;-0,654404786;-0,586740707;0,693320322;1136;1366,333333;0;0;0,664726728
10;Kabupaten Lumajang;0,515679171;-0,5687318;-0,275948323;-0,293754166;-0,731406755;0,089676135;-0,346092372;0,039574437;491,6666667;706,2222222;0;0;0,423885827
11;Kabupaten Madiun;-0,5681095;-0,215141206;-0,21096275;-0,047142785;0,115149138;0,149161817;0,336365892;-0,201133823;417,8888889;807,5555556;0;1;0,569905346
12;Kabupaten Magetan;0,245878408;0,560858568;0,377121116;0,209419463;-0,60590055;-0,306867932;-0,574342562;0,403703064;556,7777778;853,8888889;0;0;0,599222844
13;Kabupaten Malang;1,646057921;-0,51834096;0,410857025;-0,238654239;0,234557446;0,219431661;0,627420149;-0,328914432;1239,166667;1407,166667;0;1;0,190746165
14;Kabupaten Mojokerto;-0,101283599;-0,425006087;-0,315988902;-0,316103823;0,031533252;0,995130568;0,737281398;-0,96671746;560,3333333;931,4444444;1;1;0,649486281
15;Kabupaten Nganjuk;-1,198946551;-0,901853083;0,147687331;-0,028796945;-0,116805417;0,681486894;0,288956832;-0,606786015;387,6111111;935,7777778;1;1;0,570667922
16;Kabupaten Ngawi;1,189546801;0,447923617;-0,834862848;-0,247134165;-0,847550862;-0,618575118;-1,223225639;0,811801248;693,9444444;859,7222222;0;0;0,71736368
17;Kabupaten Pacitan;1,088901649;0,41442436;-0,819416853;-0,265530665;-0,790267938;-1,135994782;-0,962423081;1,164936298;451,8888889;570,9444444;0;0;0,74214279
18;Kabupaten Pamekasan;-0,014980026;-0,312941415;-0,766681086;-0,20349691;0,225354617;-1,108774566;-0,824763095;1,066131878;461,4444444;757,8888889;0;0;0,663381092
19;Kabupaten Pasuruan;1,737355845;0,091605772;1,952234368;-0,14208369;1,246523761;-1,00002582;-0,79199158;0,925507057;1069,666667;1190,444444;0;0;0,276896826
20;Kabupaten Ponorogo;1,200196741;0,780693133;-0,634407169;-0,245074638;-0,817979946;-0,560273988;-0,361225818;0,56808496;852,2222222;1056,555556;0;0;0,636399297
21;Kabupaten Probolinggo;-0,888382996;-0,927653874;-0,793385221;-0,331018444;-0,528312432;-0,001075462;-0,12046139;0,051992176;387,6666667;835,1111111;0;0;0,0429113
22;Kabupaten Sampang;0,182307917;-0,978414373;-0,893983831;-0,401926847;-0,871945832;-0,436213259;-0,983174299;0,612188055;308,6666667;479,5;0;0;0,621805879
23;Kabupaten Sidoarjo;-1,193939725;-0,932424766;4,215232711;-0,286896724;1,372390694;1,479808634;1,880384665;-1,675180369;655,3333333;1578,666667;1;1;0,602192725
24;Kabupaten Situbondo;-0,389804532;-0,010637036;-0,066301537;-0,297762806;-0,639250497;-0,79311143;-0,747448582;0,83439752;423,3888889;773,3333333;0;0;0,706432566
25;Kabupaten Sumenep;0,369282399;0,802079058;-0,972263688;-0,437676856;-0,356791253;-2,205405014;-1,49441442;2,123685176;1003,944444;1508,5;0;0;0,736037539
26;Kabupaten Trenggalek;-0,201071041;-0,193811324;-0,197437477;-0,167227123;-0,798273931;-0,197573863;-0,399442777;0,285031657;424,8888889;744,1111111;0;0;0,60462831
27;Kabupaten Tuban;-0,847379889;-0,342776534;-0,628108591;-0,265036509;0,127222767;-0,829382689;-0,842157209;0,850461756;645,9444444;1366,277778;0;0;0,555568166
28;Kabupaten Tulungagung;-0,453706199;0,095923916;-0,504347272;-0,347035801;-0,250569227;-0,636013255;-0,619975922;0,661991476;744,2777778;1388,777778;0;0;0,675746008
29;Kota Batu;-0,427940745;-0,207764654;1,490149021;0,207291302;2,092276519;0,318421036;0,333154811;-0,425161931;123,3888889;228,4444444;1;1;0,513435231
30;Kota Blitar;0,880351444;3,086130693;-0,533684942;-0,091739762;-0,998351319;0,294733486;-0,339198465;-0,114399266;256,7222222;340,1111111;0;0;0,289590407
31;Kota Kediri;1,730334973;3,585098633;-0,98210215;-0,36601241;-0,143407035;-0,462125565;-0,515713629;0,494067218;525;585,1666667;0;0;0,407115094
32;Kota Madiun;-0,578794399;0,559529597;-0,18763192;-0,246006459;-0,998351319;2,71319508;1,620813141;-2,498531289;162,3888889;314,9444444;1;1;0,584844407
33;Kota Malang;-0,741630091;-0,580083558;0,151019139;1,876437304;3,100261444;1,592065694;2,839323729;-2,060639775;387,4444444;797,1666667;1;1;0,684250633
34;Kota Mojokerto;1,087108955;1,620419675;0,133078059;0,100601051;-0,998351319;2,519901173;0,204644325;-2,022128519;161,3333333;203,9444444;1;1;0,329532989
35;Kota Pasuruan;-1,38752372;-0,172147822;0,327053663;-0,303512318;1,882039971;-0,139512998;0,426788257;-0,069740316;121,2777778;324,4444444;1;1;0,439320497
36;Kota Probolinggo;0,561236644;0,171148836;-0,361299251;-0,343745434;-0,148450263;0,404257229;0,908848243;-0,523745065;165,7222222;236,1666667;0;1;0,404894223
37;Kota Surabaya;0,271348049;-0,520662762;-0,621014173;-0,278350804;2,235333487;0,198955662;2,318671497;-0,786429477;1377,888889;2086,055556;1;1;0,570585256